Vieta;Data;Laikas;Dalyviu skaicius;Zuvusiuju skaicius;Suzeistuju skaicius;Dalyvavusiu transporto priemoniu skaicius;Apgadintu transporto priemoniu skaicius;Kelio reiksme;Dangos rusis;Dangos bukle;Paros metas;Meteorologines salygos;Kelio kreive;Atitvarai (1-yra, 0-nera);Sankryzos tipas;Tikslesnes vietos aplinkybes;Eismo ivykio dalyvio kategorija;Lytis;Gimimo data;Neigalumas (1 - taip, 0 - ne);Saugos dirzas;Vairuotojo kvalifikacija;Stazas;Blaivumas
Kaisiadoriu r. sav.;2015-11-16;15:03:00;2;0;1;2;2;Krasto keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1964-05-29;0;;Atitinka;18;Blaivus
Kaisiadoriu r. sav.;2015-11-18;00:52:00;3;0;1;3;2;Magistraliniai keliai;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;;Darbu vykdymo vieta;Automobilio vairuotojas;Vyras;1989-02-10;0;Uzsegtas;Atitinka;9;Blaivus
Kaisiadoriu r. sav.;2015-11-25;17:15:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1963-12-22;0;;Atitinka;11;Neblaivus
Kaisiadoriu r. sav.;2015-12-06;11:35:00;2;0;1;1;1;;zvyrkelis;slapia;Diena;Giedra;Horizontalus vingis;0;;;Automobilio vairuotojas;Vyras;1991-11-23;0;;Neturi teises vairuoti;;Neblaivus
Kaisiadoriu r. sav.;2015-12-13;16:00:00;3;0;2;2;2;Magistraliniai keliai;Asfaltbetonis, cementbetonis;slapia;Sutemos (prieblanda);Lietus;Tiesus horizontalus ruozas;1;;;Automobilio vairuotojas;Vyras;1975-04-22;0;;Atitinka;0;Blaivus
Kaisiadoriu r. sav.;2015-12-25;23:53:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Giedra;Tiesus horizontalus ruozas;0;;Degaline;Automobilio vairuotojas;Moteris;1958-07-10;0;;Atitinka;10;Neblaivus
Kalvarijos sav.;2015-05-12;17:58:00;2;0;1;1;1;Magistraliniai keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;1934-08-24;0;;;;Blaivus
Kalvarijos sav.;2015-05-31;14:33:00;4;0;1;5;5;Magistraliniai keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1962-11-27;0;Uzsegtas;Atitinka;28;Blaivus
Kalvarijos sav.;2015-06-01;17:03:00;2;0;1;1;1;Krasto keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;1959-11-29;0;;;;Neblaivus
Kalvarijos sav.;2015-07-16;01:58:00;4;1;0;5;5;Magistraliniai keliai;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Tiesi ikalne;0;;;Automobilio vairuotojas;Vyras;1985-01-10;0;Uzsegtas;Atitinka;12;Blaivus
Kauno m. sav.;2015-01-02;17:15:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1979-03-11;0;Uzsegtas;Atitinka;10;Blaivus
Kauno m. sav.;2015-01-03;22:15:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lijundra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1985-03-18;0;Uzsegtas;Atitinka;10;Blaivus
Kauno m. sav.;2015-01-06;12:35:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Apledejusi;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1992-11-27;0;Uzsegtas;Atitinka;2;Blaivus
Kauno m. sav.;2015-01-07;08:50:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Apledejusi;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Moteris;1973-06-23;0;Uzsegtas;Atitinka;23;Blaivus
Kauno m. sav.;2015-01-10;16:22:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Sutemos (prieblanda);Sniegas, krusa;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Moteris;1989-09-18;0;Neuzsegtas;Atitinka;7;Blaivus
Kauno m. sav.;2015-01-11;16:40:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Moteris;1986-08-16;0;Uzsegtas;Atitinka;7;Blaivus
Kauno m. sav.;2015-01-12;16:50:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Moteris;1974-10-01;0;Uzsegtas;Atitinka;0;Neblaivus
Kauno m. sav.;2015-01-12;17:54:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lijundra;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1963-01-15;0;Uzsegtas;Atitinka;16;Blaivus
Kauno m. sav.;2015-01-13;17:30:00;2;0;1;2;0;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1979-08-04;0;Neirengtas;Atitinka;16;Blaivus
Kauno m. sav.;2015-01-14;18:00:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1963-07-22;0;Uzsegtas;Atitinka;24;Blaivus
Kauno m. sav.;2015-01-16;10:30:07;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1942-04-17;0;Uzsegtas;Atitinka;20;Blaivus
Kauno m. sav.;2015-01-17;07:06:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Apledejusi;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1991-10-04;0;Uzsegtas;Atitinka;5;Blaivus
Kauno m. sav.;2015-01-18;16:30:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1966-06-25;0;Uzsegtas;Atitinka;25;Blaivus
Kauno m. sav.;2015-01-28;04:00:00;3;1;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Vingiuota nuokalne;0;;;Automobilio vairuotojas;Vyras;1993-12-06;0;Uzsegtas;Atitinka;2;Blaivus
Kauno m. sav.;2015-01-28;06:50:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1974-08-16;0;;Atitinka;14;Blaivus
Kauno m. sav.;2015-01-29;19:50:34;2;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1978-05-31;0;Uzsegtas;Atitinka;10;Blaivus
Kauno m. sav.;2015-02-02;16:00:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;;;;;;;
Kauno m. sav.;2015-02-03;16:50:00;3;0;1;3;3;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1969-02-06;0;Uzsegtas;Atitinka;24;Blaivus
Kauno m. sav.;2015-02-04;17:45:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1934-02-19;0;Uzsegtas;Atitinka;35;Blaivus
Kauno m. sav.;2015-02-04;17:47:24;2;0;1;1;0;Vietiniai keliai;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1959-04-14;0;Uzsegtas;Atitinka;30;Blaivus
Kauno m. sav.;2015-02-05;10:51:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Vyras;1993-12-07;0;Uzsegtas;Atitinka;2;Blaivus
Kauno m. sav.;2015-02-05;19:35:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Vyras;1962-06-13;0;Uzsegtas;Atitinka;24;Blaivus
Kauno m. sav.;2015-02-06;18:50:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Moteris;1994-10-28;0;Uzsegtas;Atitinka;1;Blaivus
Kauno m. sav.;2015-02-08;17:00:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Apsnigta;Sutemos (prieblanda);Sniegas, krusa;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1950-05-10;0;Uzsegtas;Atitinka;40;Blaivus
Kauno m. sav.;2015-02-09;17:53:00;2;0;1;1;;Vietiniai keliai;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;;;;;;;
Kauno m. sav.;2015-02-09;22:40:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1978-03-08;0;Uzsegtas;Atitinka;7;Neblaivus
Kauno m. sav.;2015-02-10;11:30:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Pesciasis;Vyras;1957-01-25;0;;;;Blaivus
Kauno m. sav.;2015-02-10;13:00:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1986-04-23;0;Uzsegtas;Atitinka;8;Blaivus
Kauno m. sav.;2015-02-10;18:10:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;PRIE_SANKRYZOS;Pesciuju pereja;Automobilio vairuotojas;Vyras;1955-04-14;0;Uzsegtas;Atitinka;31;Blaivus
Kauno m. sav.;2015-02-11;22:15:00;5;0;2;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Vyras;1985-08-20;0;Uzsegtas;Atitinka;10;Blaivus
Kauno m. sav.;2015-02-12;09:00:00;2;0;2;2;2;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;PRIE_SANKRYZOS;;Automobilio vairuotojas;Moteris;1990-02-20;0;Uzsegtas;Atitinka;7;Blaivus
Kauno m. sav.;2015-02-22;14:10:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1974-07-28;0;Uzsegtas;Atitinka;11;Neblaivus
Kauno m. sav.;2015-02-24;05:45:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Moteris;1942-05-23;0;Uzsegtas;Atitinka;25;Blaivus
Kauno m. sav.;2015-02-26;14:19:00;4;0;2;2;2;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Vyras;1989-01-12;0;Uzsegtas;Atitinka;9;Blaivus
Kauno m. sav.;2015-02-27;16:30:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1981-02-12;0;Uzsegtas;Atitinka;15;Blaivus
Kauno m. sav.;2015-02-28;12:00:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Vyras;1997-01-10;0;Uzsegtas;Atitinka;0;Blaivus
Kauno m. sav.;2015-03-01;14:30:00;2;0;1;1;0;Vietiniai keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;;;;;;;
Kauno m. sav.;2015-03-03;15:15:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Moteris;1977-10-02;0;Uzsegtas;Atitinka;15;Blaivus
Kauno m. sav.;2015-03-04;17:39:00;2;0;1;2;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1982-09-28;0;;Atitinka;11;Blaivus
Kauno m. sav.;2015-03-04;19:30:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1980-03-10;0;Uzsegtas;Atitinka;9;Blaivus
Kauno m. sav.;2015-03-05;17:12:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Pesciasis;Vyras;1963-07-13;0;;;;Blaivus
Kauno m. sav.;2015-03-06;19:00:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Pesciasis;Vyras;1944-06-20;0;;;;Neblaivus
Kauno m. sav.;2015-03-08;12:10:00;4;0;2;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1996-08-12;0;Uzsegtas;Atitinka;0;Blaivus
Kauno m. sav.;2015-03-13;13:05:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1983-03-30;0;Uzsegtas;Atitinka;14;Blaivus
Kauno m. sav.;2015-03-14;11:30:00;4;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Horizontalus vingis;0;;;Automobilio vairuotojas;Vyras;1987-12-22;0;Uzsegtas;Atitinka;2;Neblaivus
Kauno m. sav.;2015-03-15;20:50:00;3;0;2;2;2;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1956-09-04;0;Uzsegtas;Atitinka;30;Blaivus
Kauno m. sav.;2015-03-15;21:36:00;4;0;3;2;2;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1992-04-03;0;Uzsegtas;Atitinka;2;Blaivus
Kauno m. sav.;2015-03-16;08:30:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1987-02-24;0;Uzsegtas;Atitinka;9;Blaivus
Kauno m. sav.;2015-03-18;13:10:00;2;0;1;1;;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1987-03-11;0;Uzsegtas;Atitinka;10;Blaivus
Kauno m. sav.;2015-03-19;12:05:00;3;0;2;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Moteris;1995-08-08;0;Uzsegtas;Atitinka;1;Blaivus
Kauno m. sav.;2015-03-19;14:00:00;3;0;2;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1958-11-12;0;Uzsegtas;Atitinka;20;Blaivus
Kauno m. sav.;2015-03-20;13:40:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1996-07-11;0;Uzsegtas;Atitinka;0;Blaivus
Kauno m. sav.;2015-03-21;09:30:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1991-08-12;0;Uzsegtas;Atitinka;5;Blaivus
Kauno m. sav.;2015-03-21;14:14:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1930-03-15;0;Uzsegtas;Atitinka;30;Blaivus
Kauno m. sav.;2015-03-21;19:42:00;3;0;2;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1975-03-31;0;Uzsegtas;Atitinka;22;Blaivus
Kauno m. sav.;2015-03-25;07:45:00;2;0;1;1;0;Vietiniai keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1982-05-21;0;Uzsegtas;Atitinka;10;Blaivus
Kauno m. sav.;2015-03-27;09:15:00;2;0;1;3;2;;Asfaltbetonis, cementbetonis;slapia;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1989-03-18;0;Uzsegtas;Atitinka;7;Blaivus
Kauno m. sav.;2015-03-29;22:08:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Moteris;1992-01-22;0;Uzsegtas;Atitinka;4;Blaivus
Kauno m. sav.;2015-04-01;08:00:00;2;0;1;1;0;Vietiniai keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Moteris;1984-03-21;0;Uzsegtas;Atitinka;12;Blaivus
Kauno m. sav.;2015-04-01;08:30:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;REGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1961-04-06;0;Uzsegtas;Atitinka;32;Blaivus
Kauno m. sav.;2015-04-01;18:00:00;4;0;1;3;3;;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;PRIE_SANKRYZOS;;Automobilio vairuotojas;Moteris;1991-09-26;0;Uzsegtas;Atitinka;5;Blaivus
Kauno m. sav.;2015-04-01;19:20:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;1954-09-24;0;;;;Neblaivus
Kauno m. sav.;2015-04-03;04:03:00;2;0;1;1;0;Vietiniai keliai;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1948-09-19;0;Uzsegtas;Atitinka;45;Blaivus
Kauno m. sav.;2015-04-03;18:15:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Moteris;1963-01-06;0;Uzsegtas;Atitinka;14;Blaivus
Kauno m. sav.;2015-04-04;11:00:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Moteris;1971-09-04;0;Uzsegtas;Atitinka;10;Blaivus
Kauno m. sav.;2015-04-08;17:25:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Moteris;1957-05-22;0;Uzsegtas;Atitinka;19;Blaivus
Kauno m. sav.;2015-04-09;13:30:00;2;0;1;2;2;Vietiniai keliai;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Isvaziavimas is kiemo, automobiliu stovejimo aiksteles ir pan;Automobilio vairuotojas;Moteris;1977-05-31;0;Uzsegtas;Atitinka;16;Blaivus
Kauno m. sav.;2015-04-11;10:50:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesi nuokalne;0;;;Pesciasis;Vyras;1969-04-12;0;;;;Blaivus
Kauno m. sav.;2015-04-11;17:00:00;3;0;2;2;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1979-12-24;0;Uzsegtas;Atitinka;17;Blaivus
Kauno m. sav.;2015-04-11;19:54:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1990-06-15;0;Uzsegtas;Atitinka;6;Neblaivus
Kauno m. sav.;2015-04-13;22:30:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Tamsus paros metas;Lietus;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;Pesciuju pereja;Automobilio vairuotojas;Vyras;1939-06-21;0;Uzsegtas;Atitinka;44;Blaivus
Kauno m. sav.;2015-04-15;13:10:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;2007-07-29;0;;;;Blaivus
Kauno m. sav.;2015-04-15;15:40:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Moteris;1985-01-21;0;Uzsegtas;Atitinka;11;Blaivus
Kauno m. sav.;2015-04-15;18:00:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Horizontalus vingis;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Moteris;1985-09-05;0;Uzsegtas;Atitinka;7;Blaivus
Kauno m. sav.;2015-04-17;17:13:00;4;0;2;2;1;;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;;;Automobilio vairuotojas;Vyras;1976-03-04;0;Uzsegtas;Atitinka;18;Blaivus
Kauno m. sav.;2015-04-18;12:36:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;;Pesciasis;Vyras;2005-10-17;0;;;;Blaivus
Kauno m. sav.;2015-04-19;16:50:00;3;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1994-03-04;0;Uzsegtas;Atitinka;1;Blaivus
Kauno m. sav.;2015-04-20;10:30:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1943-02-01;0;Uzsegtas;Atitinka;39;Blaivus
Kauno m. sav.;2015-04-24;14:45:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1995-05-04;0;Uzsegtas;Atitinka;1;Blaivus
Kauno m. sav.;2015-04-25;15:33:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1960-10-27;0;Uzsegtas;Atitinka;31;Blaivus
Kauno m. sav.;2015-04-28;19:27:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Apsiniauke;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1992-09-12;0;Uzsegtas;Atitinka;4;Blaivus
Kauno m. sav.;2015-04-30;12:03:00;4;0;1;3;3;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Moteris;1975-10-06;0;Uzsegtas;Atitinka;14;Blaivus
Kauno m. sav.;2015-05-01;03:32:00;5;0;4;2;2;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Giedra;Tiesus horizontalus ruozas;0;REGULIUOJAMA;;Automobilio vairuotojas;Vyras;1970-04-09;0;Uzsegtas;Atitinka;0;Blaivus
Kauno m. sav.;2015-05-03;13:00:00;2;0;1;2;2;;Asfaltbetonis, cementbetonis;Sausa;Diena;Giedra;Tiesus horizontalus ruozas;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1962-03-14;0;Uzsegtas;Atitinka;32;Blaivus
Kauno m. sav.;2015-05-04;21:32:00;2;0;1;1;0;;Asfaltbetonis, cementbetonis;Sausa;Tamsus paros metas;Apsiniauke;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1992-12-01;0;Uzsegtas;Atitinka;1;Blaivus
Kauno m. sav.;2015-05-07;18:39:00;5;0;2;2;2;;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesi nuokalne;0;NEREGULIUOJAMA;;Automobilio vairuotojas;Vyras;1971-08-11;0;Uzsegtas;Atitinka;16;Neblaivus
Kauno m. sav.;2015-05-10;18:35:00;2;0;1;1;1;;Asfaltbetonis, cementbetonis;slapia;Diena;Lietus;Tiesus horizontalus ruozas;0;;Pesciuju pereja;Automobilio vairuotojas;Vyras;1983-08-05;0;Uzsegtas;Atitinka;14;Blaivus
